Name,Version,Build,Channel
_libgcc_mutex,0.1,conda_forge,conda-forge
_openmp_mutex,4.5,0_gnu,conda-forge
absl-py,0.9.0,pypi_0,pypi
asn1crypto,0.24.0,py35_3,conda-forge
astunparse,1.6.3,pypi_0,pypi
blas,1.1,openblas,conda-forge
bzip2,1.0.8,h516909a_2,conda-forge
ca-certificates,2020.6.20,hecda079_0,conda-forge
cachetools,4.1.1,pypi_0,pypi
cairo,1.14.12,he56eebe_3,conda-forge
certifi,2018.8.24,py35_1001,conda-forge
cffi,1.11.5,py35h5e8e0c9_1,conda-forge
chardet,3.0.4,pypi_0,pypi
click,7.1.2,pyh9f0ad1d_0,conda-forge
cryptography,2.3.1,py35hdffb7b8_0,conda-forge
cryptography-vectors,2.3.1,py35_0,conda-forge
decorator,4.4.2,pypi_0,pypi
eventlet,0.23.0,py35_0,conda-forge
ffmpeg,3.4.2,hf82bc7d_2,conda-forge
flask,1.1.2,pyh9f0ad1d_0,conda-forge
flask-socketio,4.3.1,pyh9f0ad1d_0,conda-forge
fontconfig,2.13.0,hd36ec8e_5,conda-forge
freeglut,3.0.0,hf484d3e_1005,conda-forge
freetype,2.8.1,hfa320df_1,conda-forge
gast,0.3.3,pypi_0,pypi
gettext,0.19.8.1,hc5be6a0_1002,conda-forge
glib,2.55.0,h464dc38_2,conda-forge
gnutls,3.6.13,h79a8f9a_0,conda-forge
google-auth,1.19.2,pypi_0,pypi
google-auth-oauthlib,0.4.1,pypi_0,pypi
google-pasta,0.2.0,pypi_0,pypi
graphite2,1.3.13,he1b5a44_1001,conda-forge
greenlet,0.4.13,py35_0,conda-forge
grpcio,1.30.0,pypi_0,pypi
h5py,2.10.0,pypi_0,pypi
harfbuzz,1.8.5,h2bb21d5_0,conda-forge
hdf5,1.10.1,2,conda-forge
icu,58.2,hf484d3e_1000,conda-forge
idna,2.1,pyh9f0ad1d_0,conda-forge
imageio,2.9.0,py_0,conda-forge
imageio-ffmpeg,0.4.2,pypi_0,pypi
importlib-metadata,1.7.0,pypi_0,pypi
intel-openmp,2019.4,243,
itsdangerous,1.1.0,py_0,conda-forge
